bedrooms,bathrooms,area_sqft,balconies,floor,location_rating,age_years,furnishing,parking_spaces,distance_to_city_center_km,rent_price
1,1,1558,0,2,1,28,0,0,10.740528715792141,44.9874577526463
1,1,671,0,7,4,11,1,0,4.854900339848232,36.92729557215634
3,3,934,1,14,2,0,0,1,11.419704514640028,47.59239454635393
2,3,2478,0,15,4,21,1,0,18.42705231044554,96.24807207498681
5,1,1544,2,16,5,16,0,1,11.813261987850703,85.692560863397
4,1,468,0,8,2,2,1,0,21.945529112006138,40.723197343069856
2,2,1226,2,16,3,6,0,2,1.1010191701772865,51.74506254416307
4,1,1569,1,7,1,19,1,2,5.319195101913633,62.16237711434601
3,3,1383,0,11,5,8,1,0,15.750797790506123,77.34700935417926
3,1,880,0,4,5,22,0,2,17.127561508189817,49.781394801368506
1,3,2740,0,18,1,4,0,2,7.616837537013656,78.21701150613882
5,3,2415,1,13,4,8,0,2,23.605393834353478,92.12270519290001
4,2,1852,1,17,1,18,1,2,8.935435492875374,80.24312887439501
2,2,2533,0,12,1,10,1,1,10.868564798252029,76.88821707632064
3,2,1439,1,18,4,13,0,0,24.43308125865244,72.78722164269395
1,2,1027,2,10,3,13,0,2,12.500569096424558,51.58001874163263
1,1,517,1,7,1,7,0,1,15.708806786048966,23.458345828995025
4,2,2717,0,12,4,23,1,2,13.964282179661339,98.32678375199761
3,1,561,2,12,5,19,0,1,5.260122234128619,42.06275370956179
5,2,2076,0,13,1,0,1,0,24.796028503391927,85.68167542719758
3,2,566,0,1,1,3,1,1,2.417754727480946,45.861579120229656
4,3,699,0,7,3,15,1,0,24.60389475107474,58.94964464590583
4,1,2475,1,16,3,24,1,1,12.231896913006437,84.03436639447487
3,3,961,0,16,5,25,1,1,5.5505537930601,61.75756760225757
4,2,2603,2,16,3,0,1,2,5.006339065708852,100.7872337348773
3,1,1747,2,16,5,18,1,2,16.733923760988755,68.9832047715385
2,2,1544,2,14,1,23,1,1,18.059389219476536,54.513624229617875
3,3,1951,0,11,4,2,1,1,22.56866811159479,84.52632433646106
3,1,960,2,19,3,1,0,1,6.6764587129403346,51.56103160732273
4,3,1587,2,11,5,16,0,0,11.397074286595487,80.14178312644698
4,2,2089,2,2,3,24,1,1,24.308604856882702,78.97719322987204
1,2,711,2,7,3,10,0,0,11.27206315066525,33.738166745940205
1,2,2823,1,9,2,25,0,0,12.02995272151508,71.75611248936423
2,1,1769,0,9,1,2,0,0,7.92473697525184,57.621350038078745
1,3,2597,0,14,3,6,1,0,21.902827077278562,87.92112323889475
3,3,2311,2,10,4,9,1,0,9.774925207845428,85.11974623218795
4,2,980,0,16,2,2,0,0,16.25297943781587,52.37355349197335
1,3,1376,2,18,5,28,1,0,5.382383997719611,66.5201887958636
1,1,576,2,1,5,7,1,1,15.777824532716739,34.235205278477935
2,2,2801,2,2,4,24,1,0,23.415162279305786,97.13172786734927
2,2,913,0,4,4,27,1,1,19.643956207752737,55.493311895879415
3,2,2756,1,2,1,23,0,1,2.62461709388692,84.66312013925771
4,1,518,0,4,4,4,0,0,16.215129341713364,39.024585678749276
2,2,1942,0,6,5,26,0,1,14.408156927418837,71.80513815452079
1,2,1166,1,4,1,9,0,1,9.12578944215264,38.717025409285206
4,2,1372,0,18,4,11,1,0,21.224860714381283,68.70744937338539
4,2,1315,1,5,4,17,1,1,20.000985032188986,71.03049235463135
1,3,2925,2,11,5,5,1,1,16.566546369558242,101.0309124031056
2,2,1837,1,13,1,7,1,2,18.860362393958983,59.19826435289415
1,1,986,2,3,2,17,1,2,5.63589853354366,40.710058272694255
4,2,750,1,19,2,5,1,0,23.088770514583807,62.59309992738922
5,2,1929,2,11,1,22,1,0,17.03277353501717,72.17386587714212
5,3,2642,0,11,4,29,1,0,12.227616067963949,107.67652867107422
3,2,1873,1,2,4,8,1,0,5.6345984171540175,75.17490109999112
1,3,895,0,15,1,15,1,0,17.386320644242517,46.53336275804555
1,1,2962,2,8,2,10,0,2,3.321208178303805,73.00189531085954
3,3,2270,1,2,3,24,0,2,8.673944842318438,86.3128646564273
3,2,672,1,8,5,29,1,1,14.770758194481587,59.774043628608275
3,1,2499,1,15,1,1,1,2,16.506283730412292,79.01205203328702
4,2,662,0,16,3,16,1,0,1.415924308247976,60.251819080445316
1,3,2580,2,13,5,12,0,2,1.2114396874115565,82.50808436466295
4,1,2757,0,17,3,6,1,1,3.675077608300205,91.38679047448156
3,1,1996,1,14,3,21,0,0,19.439896590364956,68.82586199188076
1,3,2463,2,14,5,9,1,0,14.610460353978873,85.28050113753312
4,3,2164,2,1,3,25,0,1,15.601932827492075,78.61039536523664
4,1,594,0,1,2,12,1,2,15.482299064501127,42.56072721763274
3,1,2186,0,3,1,9,0,1,1.8836145314734711,59.43696810278696
1,3,1866,1,15,2,27,1,0,5.134707505888047,66.14290332692158
3,2,2750,1,5,2,3,0,0,18.46879187097821,84.09433426792103
1,1,1471,1,5,5,26,1,2,16.497233788015844,51.2666044835147
5,3,2170,1,4,5,10,1,1,11.686963404372031,106.67993421784398
2,2,1544,2,14,5,8,1,2,1.4895889851911877,75.4449739801674
2,1,1922,1,7,3,15,0,0,11.004266497978081,60.41876083865499
2,1,1231,1,15,3,16,0,1,6.950900145707284,51.99861682135174
3,3,961,1,11,1,22,0,1,17.734461815492608,46.992439949445725
5,2,440,0,14,3,4,0,2,20.792246071354747,42.98207635226699
1,1,1879,0,6,1,4,1,0,13.091357854439686,54.918907980438945
4,2,2981,0,10,2,5,1,1,10.684614244363447,97.72223695686644
1,2,770,1,7,1,1,1,2,7.5530171320839985,38.69273251663512
4,1,1605,2,10,1,26,0,0,3.2226581586409395,62.619731581893
1,2,2964,1,14,5,13,1,0,9.921959625142648,98.79275839172881
5,1,1056,0,5,3,10,0,0,17.27276844829599,54.16880200492836
4,2,989,0,1,4,18,0,2,16.985863100979493,69.67965655761948
3,1,630,1,19,4,10,0,0,10.906660394237157,38.86551749854808
1,3,1208,2,8,5,24,1,2,24.183481145640435,62.178666851643655
1,1,1771,2,19,2,19,0,0,23.56179440719027,52.473929769339804
4,1,878,2,17,2,5,0,2,22.01561853510384,46.416681801780776
3,1,1632,0,19,2,12,0,2,11.459156883232112,47.175229710621245
3,2,2725,0,16,1,28,0,1,18.916770900495735,74.24906474733858
5,3,2172,2,4,3,18,0,2,23.295995593312394,87.74925655841434
3,2,2500,1,8,2,2,1,1,18.703287414920535,86.04921539137395
3,2,2284,2,4,4,24,0,0,8.578254962659512,75.76267204180702
3,1,1433,1,13,1,15,0,0,2.6321918130696424,52.8685161451602
2,2,2162,0,7,2,8,0,2,23.99229851519736,69.19681580591039
5,1,1147,0,1,2,28,0,0,24.818228215958392,61.08827221337048
1,3,863,0,9,3,2,1,0,17.64738558350003,48.946797941967056
4,2,1153,2,4,3,18,0,2,8.56847173939694,58.17164402491754
1,2,2240,2,14,1,14,1,0,21.760689275969792,69.05778906109477
5,2,982,0,9,4,21,0,0,23.88290672613101,63.94907208969278
4,1,2605,0,3,5,12,0,0,13.154629916542365,97.45015771270914
5,1,418,0,15,4,16,0,1,8.479582557779025,43.88353366799479
3,2,454,2,5,3,29,1,0,10.752633856631148,54.80029574714442
4,2,2150,2,1,3,20,1,2,2.772353754647108,88.9192491683911
3,3,1120,0,11,5,24,0,2,14.576033041575318,64.49827274246918
1,3,1963,2,19,4,24,1,0,10.092483772671713,75.15115659721432
1,3,2732,2,5,4,7,1,2,22.228975374517447,89.94346526885639
4,3,1955,2,17,5,21,1,2,7.613256169615462,91.82426925632518
4,3,2958,2,19,3,13,0,2,1.2008880045451011,106.4492092320912
5,1,1819,0,17,1,8,1,2,18.691901765893874,81.85579006722756
5,3,2567,0,5,4,2,1,0,1.177800428543164,108.02771242990404
3,3,2544,2,9,2,28,1,2,14.103306512576726,92.68644755242144
4,2,2567,0,6,4,8,1,1,5.350214944143772,91.80685176910761
1,1,1960,0,13,4,23,1,1,15.65149998317688,63.35877493221588
5,3,1576,0,11,4,11,1,1,5.74922252922586,88.41440478993309
5,3,1668,1,1,3,14,0,0,13.045050775824766,78.8958437574798
1,3,2195,0,17,2,16,0,2,9.041652879036388,68.77988837617586
5,2,2840,0,6,4,8,1,0,5.38131755926335,101.4324894718723
3,2,1566,2,3,1,23,1,2,15.555580816158987,64.67492006922151
4,2,2270,2,16,2,7,0,2,2.973247371414275,89.70773079686167
1,3,2667,1,13,5,5,1,2,23.58726973200719,86.97819197937254
4,2,559,1,12,1,8,0,2,19.675109506462093,43.660604372900316
5,3,1038,0,11,5,14,1,2,22.980822990713776,76.79843028208353
5,1,1455,0,2,4,23,0,0,2.019214152277206,74.53510788953882
1,3,733,2,19,3,17,0,0,1.051352942347509,41.53941321714181
3,2,1291,0,8,4,21,1,1,9.590280259288539,64.569272107894
2,1,2416,0,13,4,27,1,0,15.800332921364724,76.62046139487272
1,3,751,0,14,5,10,1,1,6.865493310407356,55.32182372442846
2,1,1762,0,15,4,23,0,1,14.183818679255594,59.270766073414855
2,1,1325,0,17,1,13,0,2,15.544039089702432,55.75690324643176
3,1,1823,0,15,3,12,0,0,4.63904787438455,65.37840853344268
2,3,2843,0,10,5,12,0,0,19.452937976311606,96.29044876996598
2,2,2977,0,1,2,21,0,2,23.47261948601721,74.44831800475535
3,3,2805,2,12,4,12,1,2,16.363065598597956,101.95485382478317
2,2,1819,1,9,5,29,0,1,23.74837074135535,61.28444212826947
2,3,459,0,5,4,26,0,0,6.907211036908643,41.95700356440817
2,3,2924,2,15,4,24,1,0,1.8763489817500654,102.92509574850358
1,3,400,0,3,5,15,1,1,6.938454164133756,54.42819424488324
1,2,1978,0,19,1,11,0,1,16.554669886193025,61.35735376859364
1,3,710,1,7,2,20,0,1,15.343238101370467,37.97424233522685
3,1,2615,2,7,4,23,1,2,7.417736239204296,95.71633404252348
5,3,2639,0,7,1,25,1,1,10.793135070744508,107.71659925549415
2,1,1107,1,2,4,17,0,1,9.82324542444656,43.19963270637438
2,2,1581,1,2,4,11,0,2,23.81021795081174,67.15836098133477
3,2,2180,0,12,1,4,1,1,8.544113468445302,71.84318127049866
2,3,1923,0,5,4,16,1,1,5.634708756525974,77.46211065603971
1,3,2813,2,4,2,20,1,0,14.574703529182921,87.39010253447866
5,3,1763,2,7,5,22,0,1,3.9957724387620166,93.25753934751272
4,1,1257,0,16,1,0,0,1,13.188877298708384,51.03373947088203
2,2,2774,0,3,3,12,0,2,17.48667215880802,77.05527947617239
1,1,2561,1,2,4,9,1,1,23.638314123331917,69.45341764120762
4,1,1318,2,17,5,2,0,0,22.41418471472547,63.82987982988726
5,3,1008,0,9,2,5,0,0,21.18918180132702,70.25805904184678
4,3,708,0,8,2,15,1,2,10.452946629924313,55.57184560909296
1,1,2848,2,12,3,27,0,0,22.455383993884524,80.56914330878496
4,1,1743,0,7,2,0,0,2,18.199333523060428,60.9747398457948
3,3,611,1,14,5,18,1,0,11.596649129583085,60.68284661305772
4,3,2764,1,16,3,7,1,0,14.537881874032964,103.71180369538797
2,1,584,0,1,1,8,1,1,11.46666073767145,38.572232566068855
2,3,1628,2,10,3,22,0,2,5.722904420182074,58.21577642767463
3,3,1787,1,11,1,19,0,1,11.840498058402872,64.18337723850318
1,1,1639,2,7,2,22,0,2,20.377832301454248,53.351165279311594
2,1,645,2,18,5,6,0,1,7.3981133641236285,34.98400745302028
5,2,638,2,19,4,10,1,0,16.36817185712136,67.16992897464486
2,1,2228,1,14,3,22,0,1,14.27855701153162,61.34165963775023
2,3,1814,1,17,2,7,1,0,23.082613494737505,69.4344969759484
1,1,919,0,19,5,10,0,2,18.908070753485397,42.64233624988124
4,1,2013,2,13,4,13,1,2,9.673394035403195,78.87255293666476
2,1,676,1,3,3,13,1,0,14.481433610911768,46.4372858356658
3,2,1405,1,2,5,3,0,1,22.869088021625014,66.87243544703298
4,2,2649,0,9,2,19,0,0,6.435534085322272,90.08899859654875
5,3,613,1,7,3,8,1,1,12.387599634429431,60.9417250748927
1,2,1005,1,14,3,7,1,0,6.320334943890362,54.61327150029333
5,1,877,1,5,1,14,0,0,11.042186332340254,53.42279789735079
4,2,907,0,15,1,26,1,2,2.397357574955418,54.205585277101335
4,1,1498,0,1,3,19,0,1,22.023290687119196,56.98176198902749
4,2,2377,2,7,5,5,0,1,24.477898035719214,97.36997480317949
5,2,541,1,5,2,24,0,0,14.62740251984393,44.894208623106266
4,2,2769,0,4,4,15,0,1,14.297774640484464,97.51735324993237
5,1,2117,0,11,1,15,1,0,23.93976136844021,80.767594978929
4,2,860,0,19,2,28,1,0,10.437800470288742,56.785835928734926
3,1,1069,2,6,3,13,1,1,15.906179273987217,49.71761679911832
4,1,2501,2,18,2,27,1,1,21.094266725240317,81.13667796122381
5,3,2724,2,5,2,29,1,0,13.137859250261574,110.69428750541097
2,2,2244,2,15,2,14,1,1,6.315954487155049,76.28942235159349
4,3,2018,2,6,3,21,0,1,20.504836457090953,86.1801939885577
2,3,799,1,4,1,26,0,1,7.507250708377007,29.794568953216615
3,1,1067,1,17,4,20,1,1,21.25062206359814,55.94220411395834
1,2,2963,0,15,5,11,0,2,23.67071337232294,91.3148578290781
3,1,1922,2,18,1,22,0,2,14.105192342160183,57.26711370787041
4,1,1734,2,6,4,17,1,0,2.183142294734208,67.7111717479037
2,2,1694,0,19,3,23,0,0,23.934827536984564,64.31571921853094
2,1,1872,1,12,4,10,0,2,20.95178338030718,53.665482077269324
5,2,2559,2,9,3,6,0,0,3.8166232383426877,95.40177359041854
2,2,638,2,8,4,5,0,2,16.105303178574374,43.92772091392106
5,1,1443,2,15,1,2,0,0,8.574692813199423,59.31441405102934
1,1,1712,1,1,3,8,0,1,8.927920365782288,52.440095445404395
4,3,2016,1,2,2,14,1,1,14.927380801515657,84.25152053507996
5,1,2644,2,3,3,1,0,2,18.08512019718723,94.97699950533979
1,2,2829,2,19,3,3,1,2,1.2696118547754702,87.06654859598625
2,3,2121,0,10,4,1,0,2,4.6641467926204605,81.56951536205877
2,2,2140,0,14,3,5,0,2,22.6672357046474,79.96340007781679
1,3,1915,1,19,4,11,1,1,12.879808090388504,69.2715625373654
2,1,2611,0,11,1,6,0,1,12.805045704465941,68.52458941674614
1,1,1672,2,6,3,8,1,2,21.167556692484283,53.265007452130405
5,1,1444,1,19,2,5,0,2,4.104998730804356,70.06864168123137
5,2,1935,0,14,2,21,1,0,18.127943446573006,82.6166467851863
1,3,935,1,8,1,4,1,1,13.149415141164276,43.84779183383667
5,2,2558,2,2,2,25,0,1,18.798133134027857,89.9209336517708
5,3,1348,0,18,4,26,0,2,17.302415765006877,71.8593942855945
5,1,1262,0,4,3,27,1,0,16.99562592512031,57.44318683271041
3,2,1421,0,3,5,25,1,1,21.544909040871502,73.85794099503791
